"Type (Control=0, Stress=1)",Beta power,"Anxiety (Low=0, High=1)",,,,,,,,Participant number
0,-0.54346746932564,0,,,,,,,,1
0,-1.03597272689072,0,,,,,,,,1
0,-0.382456485888192,0,,,,,,,,1
0,-0.681039788167352,0,,,,,,,,1
0,-0.597764203635182,0,,,,,,,,1
0,-1.0259383111964,0,,,,,,,,1
0,-0.538184287897362,0,,,,,,,,1
0,-0.597976068063606,0,,,,,,,,1
0,-0.111684083189436,0,,,,,,,,1
0,-0.752007734754252,0,,,,,,,,1
0,-0.872506291784535,0,,,,,,,,1
0,-0.687667982003823,0,,,,,,,,1
0,-0.95524795356404,0,,,,,,,,1
0,-0.866739722794783,0,,,,,,,,1
0,-0.694493607074299,0,,,,,,,,1
0,-0.728239911597901,0,,,,,,,,1
0,-0.980145217254213,0,,,,,,,,1
0,-0.852284524362358,0,,,,,,,,1
0,-0.584241757977292,0,,,,,,,,1
0,-0.699174661799554,0,,,,,,,,1
0,-0.45801420382535,0,,,,,,,,1
0,-0.396109342601846,0,,,,,,,,1
0,-0.484521097612256,0,,,,,,,,1
0,-0.571343798073807,0,,,,,,,,1
0,-0.415276440815157,0,,,,,,,,1
0,-0.914173360048374,0,,,,,,,,1
0,-0.477258654761041,0,,,,,,,,1
0,-0.005589656472283,0,,,,,,,,1
0,-0.963054602494405,0,,,,,,,,1
0,-0.341068520004259,0,,,,,,,,1
0,-0.739037513168447,0,,,,,,,,1
0,-0.782462803466469,0,,,,,,,,1
0,-0.50532230999753,0,,,,,,,,1
0,-0.641018343691535,0,,,,,,,,1
0,-0.114261857077602,0,,,,,,,,1
0,-0.85243903779699,0,,,,,,,,1
0,-0.768790903505934,0,,,,,,,,1
0,-0.812179963808647,0,,,,,,,,1
0,-1.05436066452602,0,,,,,,,,1
0,-0.877057491692689,0,,,,,,,,1
0,-0.354028216181523,0,,,,,,,,1
0,-0.828209164795768,0,,,,,,,,1
0,-0.618733618571743,0,,,,,,,,1
0,-0.467140010898984,0,,,,,,,,1
0,-0.542501308969197,0,,,,,,,,1
0,-0.649604583863822,0,,,,,,,,1
0,-0.286192392391676,0,,,,,,,,1
0,-0.041532324696044,0,,,,,,,,1
0,-0.778616537829057,0,,,,,,,,1
0,-0.633003195136458,0,,,,,,,,1
0,-0.02784422089128,0,,,,,,,,1
0,-0.698617803212575,0,,,,,,,,1
0,-0.371230350804895,0,,,,,,,,1
0,-0.394622697084719,0,,,,,,,,1
0,-0.036444358573898,0,,,,,,,,1
0,-0.67596817275969,0,,,,,,,,1
0,-0.513512616187636,0,,,,,,,,1
0,-0.487397263927867,0,,,,,,,,1
0,-0.809580085865609,0,,,,,,,,1
0,-0.829402108666527,0,,,,,,,,1
0,-0.454797369832729,0,,,,,,,,1
0,-0.183131524722318,0,,,,,,,,1
0,-0.271584740955462,0,,,,,,,,1
0,-0.632909882296934,0,,,,,,,,1
0,-0.705927946992304,0,,,,,,,,1
0,-0.444000045090912,0,,,,,,,,1
0,-0.635950759672768,0,,,,,,,,1
0,-0.845991493900761,0,,,,,,,,1
0,-0.814940584826861,0,,,,,,,,1
0,-0.712415662073632,0,,,,,,,,1
0,-0.682163248207677,0,,,,,,,,1
0,-0.693203925149862,0,,,,,,,,1
0,-0.241267970917918,0,,,,,,,,1
0,-0.630342235949305,0,,,,,,,,1
0,-0.755698453243964,0,,,,,,,,1
0,-0.877132873823881,0,,,,,,,,1
0,-0.657937968958303,0,,,,,,,,1
0,-0.949745791520557,0,,,,,,,,1
0,-0.943937665710063,0,,,,,,,,1
0,-0.629477878161799,0,,,,,,,,1
0,-0.839326253529438,0,,,,,,,,1
0,-0.683347637937548,0,,,,,,,,1
0,-0.388177524343263,0,,,,,,,,1
0,-0.691493783853429,0,,,,,,,,1
0,-0.823123956548543,0,,,,,,,,1
0,-0.327295432223556,0,,,,,,,,1
0,-0.011421020187896,0,,,,,,,,1
0,-0.572041668084084,0,,,,,,,,1
0,-0.36488525266893,0,,,,,,,,1
0,-0.802046122556535,0,,,,,,,,1
0,-0.525451411637222,0,,,,,,,,1
0,-0.910741949644421,0,,,,,,,,1
0,-0.778124442767672,0,,,,,,,,1
0,-0.276242767446835,0,,,,,,,,1
0,0.080523054216941,0,,,,,,,,1
0,-0.728901546968034,0,,,,,,,,1
0,-0.813352414397335,0,,,,,,,,1
0,-0.896742164749243,0,,,,,,,,1
0,-0.663480850160081,0,,,,,,,,1
0,-0.702321463063265,0,,,,,,,,1
0,-0.595423158979586,0,,,,,,,,1
0,-0.228848148706832,0,,,,,,,,1
0,-0.240851271244524,0,,,,,,,,1
0,-0.83254946420709,0,,,,,,,,1
0,-0.309796255656602,0,,,,,,,,1
0,-0.492794192415889,0,,,,,,,,1
0,-0.387709969597316,0,,,,,,,,1
0,-0.631430050810353,0,,,,,,,,1
0,-0.194250183632914,0,,,,,,,,1
0,0.187237443530347,0,,,,,,,,1
0,-0.450564647395128,0,,,,,,,,1
0,0.230617024405836,0,,,,,,,,1
0,-0.354250404135858,0,,,,,,,,2
0,-0.112967545659736,0,,,,,,,,2
0,-0.165268302035088,0,,,,,,,,2
0,-0.422140699090181,0,,,,,,,,2
0,-0.665829593700481,0,,,,,,,,2
0,-0.511645839588281,0,,,,,,,,2
0,-0.53294637966156,0,,,,,,,,2
0,-0.568539973452795,0,,,,,,,,2
0,-0.348060651918385,0,,,,,,,,2
0,-0.776694207738492,0,,,,,,,,2
0,0.123617472507078,0,,,,,,,,2
0,-0.170032120168539,0,,,,,,,,2
0,-0.651389543037017,0,,,,,,,,2
0,-0.440020243810083,0,,,,,,,,2
0,0.378025354736117,0,,,,,,,,2
0,-0.450010621799616,0,,,,,,,,2
0,-0.679463914711199,0,,,,,,,,2
0,-0.794447254406588,0,,,,,,,,2
0,-0.253295535503873,0,,,,,,,,2
0,-0.510933227635863,0,,,,,,,,2
0,-0.46200897117577,0,,,,,,,,2
0,-0.24888510489527,0,,,,,,,,2
0,-0.72427589855434,0,,,,,,,,2
0,-0.105290037281547,0,,,,,,,,2
0,-0.813372249642118,0,,,,,,,,2
0,-0.721050859804969,0,,,,,,,,2
0,-0.774821416498224,0,,,,,,,,2
0,-0.29062720360023,0,,,,,,,,2
0,-0.659250230840921,0,,,,,,,,2
0,-0.385447995147485,0,,,,,,,,2
0,-0.517017736571357,0,,,,,,,,2
0,-0.248172337817691,0,,,,,,,,2
0,-0.168169815255482,0,,,,,,,,2
0,-0.639155687860041,0,,,,,,,,2
0,-0.011835921539105,0,,,,,,,,2
0,-0.739720355940457,0,,,,,,,,2
0,-0.188818127530558,0,,,,,,,,2
0,0.119612438879305,0,,,,,,,,2
0,-0.731357032752528,0,,,,,,,,2
0,-0.610323100749893,0,,,,,,,,2
0,-0.256696963375283,0,,,,,,,,2
0,0.193993095002038,0,,,,,,,,2
0,-0.60228716768028,0,,,,,,,,2
0,0.427305426015684,0,,,,,,,,2
0,-0.441323615907379,0,,,,,,,,2
0,-0.318226544333912,0,,,,,,,,2
0,0.629537347041073,0,,,,,,,,2
0,-0.613120792557742,0,,,,,,,,2
0,-0.224640446836676,0,,,,,,,,2
0,-0.478987136336327,0,,,,,,,,2
0,-0.43194706345547,0,,,,,,,,2
0,-0.350508040438008,0,,,,,,,,2
0,-0.779137965274102,0,,,,,,,,2
0,-0.193086187717902,0,,,,,,,,2
0,-0.642458774544514,0,,,,,,,,2
0,-0.299312620485704,0,,,,,,,,2
0,-0.447725353179173,0,,,,,,,,2
0,-0.09768945514756,0,,,,,,,,2
0,-0.469389843991505,0,,,,,,,,2
0,-0.205911574084088,0,,,,,,,,2
0,-0.324020502969564,0,,,,,,,,2
0,-0.354860135605653,0,,,,,,,,2
0,-0.495820712588008,0,,,,,,,,2
0,-0.551700785420219,0,,,,,,,,2
0,-0.470622502241122,0,,,,,,,,2
0,-0.735374176200983,0,,,,,,,,2
0,-0.628555037873287,0,,,,,,,,2
0,-0.431366945101389,0,,,,,,,,2
0,-0.238724958449285,0,,,,,,,,2
0,-0.413414222654901,0,,,,,,,,2
0,-0.429479522599607,0,,,,,,,,2
0,-0.554043623800954,0,,,,,,,,2
0,-0.094042900681362,0,,,,,,,,2
0,-0.494558227766969,0,,,,,,,,2
0,-0.498555561741521,0,,,,,,,,2
0,-0.030099753248432,0,,,,,,,,2
0,-0.31147724090134,0,,,,,,,,2
0,-0.337868564056429,0,,,,,,,,2
0,-0.308677250734863,0,,,,,,,,2
